,Probability,# days > 24F,# days > 28F,# days > 32F
0,9 years in 10,175,147,120
1,8 years in 10,189,157,129
2,5 years in 10,215,175,146
3,2 years in 10,241,194,163
4,1 year in 10,255,203,171
0,9 years in 10,175,147,120
1,8 years in 10,189,157,129
2,5 years in 10,215,175,146
3,2 years in 10,241,194,163
4,1 year in 10,255,203,171
0,9 years in 10,255,203,171
1,8 years in 10,255,203,171
2,5 years in 10,255,203,171
3,2 years in 10,255,203,171
4,1 year in 10,255,203,171
0,9 years in 10,249,210,185
1,8 years in 10,259,221,194
2,5 years in 10,278,242,210
3,2 years in 10,297,264,227
4,1 year in 10,307,275,236
0,9 years in 10,307,275,236
1,8 years in 10,307,275,236
2,5 years in 10,307,275,236
3,2 years in 10,307,275,236
4,1 year in 10,307,275,236
0,9 years in 10,272,208,154
1,8 years in 10,291,223,163
2,5 years in 10,331,250,181
3,2 years in 10,382,278,199
4,1 year in 10,382,292,209
0,9 years in 10,382,192,149
1,8 years in 10,382,204,158
2,5 years in 10,382,226,176
3,2 years in 10,382,249,195
4,1 year in 10,382,261,204
0,9 years in 10,219,166,114
1,8 years in 10,232,178,130
2,5 years in 10,257,201,161
3,2 years in 10,282,223,192
4,1 year in 10,295,235,208
0,9 years in 10,295,235,208
1,8 years in 10,295,235,208
2,5 years in 10,295,235,208
3,2 years in 10,295,235,208
4,1 year in 10,295,235,208
0,9 years in 10,295,235,124
1,8 years in 10,295,235,132
2,5 years in 10,295,235,149
3,2 years in 10,295,235,165
4,1 year in 10,295,235,173
0,9 years in 10,146,122,84
1,8 years in 10,154,129,92
2,5 years in 10,171,141,108
3,2 years in 10,187,154,124
4,1 year in 10,196,160,133
0,9 years in 10,196,160,133
1,8 years in 10,196,160,133
2,5 years in 10,196,160,133
3,2 years in 10,196,160,133
4,1 year in 10,196,160,133
0,9 years in 10,196,160,133
1,8 years in 10,196,160,133
2,5 years in 10,196,160,133
3,2 years in 10,196,160,133
4,1 year in 10,196,160,133
0,9 years in 10,196,160,153
1,8 years in 10,196,160,160
2,5 years in 10,196,160,174
3,2 years in 10,196,160,188
4,1 year in 10,196,160,195
0,9 years in 10,196,160,203
1,8 years in 10,196,160,214
2,5 years in 10,196,160,234
3,2 years in 10,196,160,254
4,1 year in 10,196,160,265
0,9 years in 10,266,240,182
1,8 years in 10,284,252,195
2,5 years in 10,319,275,219
3,2 years in 10,359,298,242
4,1 year in 10,393,310,255
0,9 years in 10,393,310,255
1,8 years in 10,393,310,255
2,5 years in 10,393,310,255
3,2 years in 10,393,310,255
4,1 year in 10,393,310,255
0,9 years in 10,393,310,255
1,8 years in 10,393,310,255
2,5 years in 10,393,310,255
3,2 years in 10,393,310,255
4,1 year in 10,393,310,255
0,9 years in 10,393,310,255
1,8 years in 10,393,310,255
2,5 years in 10,393,310,255
3,2 years in 10,393,310,255
4,1 year in 10,393,310,255
0,9 years in 10,181,155,121
1,8 years in 10,190,162,129
2,5 years in 10,207,177,145
3,2 years in 10,225,191,160
4,1 year in 10,234,198,168
0,9 years in 10,234,198,168
1,8 years in 10,234,198,168
2,5 years in 10,234,198,168
3,2 years in 10,234,198,168
4,1 year in 10,234,198,168
0,9 years in 10,264,217,168
1,8 years in 10,282,236,180
2,5 years in 10,322,271,203
3,2 years in 10,322,307,226
4,1 year in 10,322,325,238
0,9 years in 10,322,325,84
1,8 years in 10,322,325,92
2,5 years in 10,322,325,107
3,2 years in 10,322,325,123
4,1 year in 10,322,325,131
0,9 years in 10,322,325,131
1,8 years in 10,322,325,131
2,5 years in 10,322,325,131
3,2 years in 10,322,325,131
4,1 year in 10,322,325,131
0,9 years in 10,155,129,99
1,8 years in 10,164,138,107
2,5 years in 10,183,155,120
3,2 years in 10,202,172,134
4,1 year in 10,211,181,141
0,9 years in 10,211,181,141
1,8 years in 10,211,181,141
2,5 years in 10,211,181,141
3,2 years in 10,211,181,141
4,1 year in 10,211,181,141
0,9 years in 10,155,125,87
1,8 years in 10,166,134,97
2,5 years in 10,185,152,116
3,2 years in 10,205,170,135
4,1 year in 10,215,180,145
0,9 years in 10,215,180,145
1,8 years in 10,215,180,145
2,5 years in 10,215,180,145
3,2 years in 10,215,180,145
4,1 year in 10,215,180,145
0,9 years in 10,215,180,145
1,8 years in 10,215,180,145
2,5 years in 10,215,180,145
3,2 years in 10,215,180,145
4,1 year in 10,215,180,145
0,9 years in 10,215,180,145
1,8 years in 10,215,180,145
2,5 years in 10,215,180,145
3,2 years in 10,215,180,145
4,1 year in 10,215,180,145
0,9 years in 10,215,180,145
1,8 years in 10,215,180,145
2,5 years in 10,215,180,145
3,2 years in 10,215,180,145
4,1 year in 10,215,180,145
0,9 years in 10,215,180,145
1,8 years in 10,215,180,145
2,5 years in 10,215,180,145
3,2 years in 10,215,180,145
4,1 year in 10,215,180,145
0,9 years in 10,178,152,132
1,8 years in 10,191,163,139
2,5 years in 10,215,184,154
3,2 years in 10,240,205,169
4,1 year in 10,253,216,177
0,9 years in 10,253,216,177
1,8 years in 10,253,216,177
2,5 years in 10,253,216,177
3,2 years in 10,253,216,177
4,1 year in 10,253,216,177
0,9 years in 10,230,165,141
1,8 years in 10,245,175,147
2,5 years in 10,274,196,158
3,2 years in 10,303,217,168
4,1 year in 10,318,227,174
0,9 years in 10,318,227,174
1,8 years in 10,318,227,174
2,5 years in 10,318,227,174
3,2 years in 10,318,227,174
4,1 year in 10,318,227,174
0,9 years in 10,248,224,182
1,8 years in 10,264,237,193
2,5 years in 10,295,260,214
3,2 years in 10,330,284,235
4,1 year in 10,359,296,246
0,9 years in 10,244,201,162
1,8 years in 10,264,211,174
2,5 years in 10,304,231,196
3,2 years in 10,351,251,219
4,1 year in 10,411,261,231
0,9 years in 10,411,261,231
1,8 years in 10,411,261,231
2,5 years in 10,411,261,231
3,2 years in 10,411,261,231
4,1 year in 10,411,261,231
0,9 years in 10,178,152,124
1,8 years in 10,188,160,129
2,5 years in 10,206,174,140
3,2 years in 10,225,188,151
4,1 year in 10,235,195,156
